DirectorID,Director
1,David Lynch
2,Florian Henckel von Donnersmarck
3,Thomas Vinterberg
4,Steve McQueen
5,Justin K. Thompson
6,Luc Besson
7,Stanley Donen
8,Ron Clements
9,Guillermo del Toro
10,Brad Bird
11,Elem Klimov
12,Wim Wenders
13,Amole Gupte
14,Juan José Campanella
15,Sam Wood
16,Frank Darabont
17,Hayao Miyazaki
18,Richard Marquand
19,King Vidor
20,Gus Van Sant
21,T.J. Gnanavel
22,Joaquim Dos Santos
23,Yasujirô Ozu
24,Adrian Molina
25,Dean DeBlois
26,William Wyler
27,Sam Mendes
28,Quentin Tarantino
29,Martin Scorsese
30,Joe Russo
31,George Miller
32,Thomas Kail
33,Chris Sanders
34,Majid Majidi
35,Roberto Benigni
36,Denis Villeneuve
37,Kemp Powers
38,Park Chan-wook
39,John Lasseter
40,Paul Thomas Anderson
41,Lilly Wachowski
42,Joseph Kosinski
43,Clyde Bruckman
44,Alejandro G. Iñárritu
45,Henri-Georges Clouzot
46,Mel Gibson
47,Lasse Hallström
48,John G. Avildsen
49,Robert Zemeckis
50,Michael Mann
51,John Huston
52,Asghar Farhadi
53,Sidney Lumet
54,Fritz Lang
55,Milos Forman
56,Terry Jones
57,Peter Ramsey
58,Victor Fleming
59,Gore Verbinski
60,Wolfgang Petersen
61,Christopher Nolan
62,Damien Chazelle
63,Jan Pinkava
64,Giuseppe Tornatore
65,Carol Reed
66,Richard Linklater
67,James McTeigue
68,Alfred Hitchcock
69,Michael Curtiz
70,Damián Szifron
71,Adam Elliot
72,Jean-Pierre Jeunet
73,Carlos Martínez López
74,Aamir Khan
75,Ingmar Bergman
76,Billy Wilder
77,Terry George
78,Peter Weir
79,David Silverman
80,Bong Joon Ho
81,Stuart Rosenberg
82,Martin McDonagh
83,Çagan Irmak
84,Masaki Kobayashi
85,Sean Penn
86,Isao Takahata
87,Rajkumar Hirani
88,M. Night Shyamalan
89,Rob Minkoff
90,Bob Persichetti
91,Jim Sheridan
92,Fernando Meirelles
93,Danny Boyle
94,Peter Jackson
95,Gene Kelly
96,Bob Peterson
97,Irvin Kershner
98,Tony Kaye
99,Akira Kurosawa
100,Rodney Rothman
101,Wes Anderson
102,David Yates
103,Lee Unkrich
104,Tom McCarthy
105,Jonathan Demme
106,Vittorio De Sica
107,Sergio Pablos
108,John McTiernan
109,Olivier Nakache
110,Kátia Lund
111,Curtis Hanson
112,Orson Welles
113,Darren Aronofsky
114,Michel Gondry
115,Jon Watts
116,John Ford
117,Bryan Singer
118,John Sturges
119,Robert Mulligan
120,Mathieu Kassovitz
121,Peter Farrelly
122,George Lucas
123,John Musker
124,James Cameron
125,Ron Howard
126,Éric Toledano
127,Stanley Kubrick
128,Pete Docter
129,David Fincher
130,Charles Chaplin
131,Roger Allers
132,Todd Phillips
133,Roman Polanski
134,George Cukor
135,Terry Gilliam
136,Michael Cimino
137,James Mangold
138,Joseph L. Mankiewicz
139,Francis Ford Coppola
140,Andrew Stanton
141,Clint Eastwood
142,Joel Coen
143,Nadine Labaki
144,Elia Kazan
145,Ernst Lubitsch
146,Ronnie Del Carmen
147,Ethan Coen
148,Oliver Stone
149,Tate Taylor
150,Robert Wise
151,Lana Wachowski
152,Nishikant Kamat
153,Nitesh Tiwari
154,Steven Spielberg
155,Buster Keaton
156,Harold Ramis
157,Stanley Kramer
158,Brian De Palma
159,Makoto Shinkai
160,Lenny Abrahamson
161,William Friedkin
162,George Roy Hill
163,John Carpenter
164,Carl Theodor Dreyer
165,Guy Ritchie
166,Gillo Pontecorvo
167,Vidhu Vinod Chopra
168,Oliver Hirschbiegel
169,Gavin O'Connor
170,Ridley Scott
171,Rob Reiner
172,Sergio Leone
173,David Lean
174,Kevin Costner
175,Anthony Russo
176,Frank Capra
177,Florian Zeller
