FilmID,GenreID
1,13
2,11
2,13
3,7
3,11
3,13
4,11
4,13
5,11
5,13
6,16
6,13
6,17
7,7
7,6
7,13
8,11
8,13
9,7
9,6
9,13
10,6
10,13
10,8
11,13
11,12
12,7
12,6
12,13
13,13
14,7
14,6
14,3
15,7
15,6
15,21
16,7
16,3
17,16
17,11
17,13
18,13
19,11
19,13
19,18
20,6
20,13
20,3
21,13
21,1
21,21
22,7
22,13
23,11
23,13
23,2
24,13
24,10
25,11
25,13
26,9
26,13
26,12
27,11
27,13
27,21
28,7
28,6
28,3
29,7
29,6
29,21
30,6
30,9
30,3
31,14
31,6
31,1
32,16
32,13
32,5
33,7
33,6
33,13
34,13
34,2
35,20
35,18
35,2
36,7
36,6
36,13
37,14
37,7
37,6
38,14
38,6
38,13
39,11
39,13
39,2
40,7
40,11
40,13
41,11
41,13
42,13
42,5
43,13
43,18
43,3
44,14
44,13
44,10
45,7
45,13
45,18
46,11
46,13
46,18
47,13
47,12
47,10
48,9
48,13
49,13
49,12
50,9
50,13
50,12
51,18
51,2
52,13
52,8
53,20
53,3
54,9
54,13
54,12
55,9
55,13
55,8
56,13
56,18
56,10
57,18
57,2
58,14
58,6
58,1
59,16
59,13
60,7
60,6
61,13
61,18
61,2
62,13
62,19
63,7
63,6
63,3
64,13
64,10
65,14
65,7
65,6
66,11
66,13
66,18
67,13
67,20
68,9
68,13
68,10
69,7
69,6
69,3
70,6
70,13
70,10
71,7
71,13
71,2
72,14
72,6
72,13
73,9
73,10
74,7
74,13
74,18
75,16
75,13
75,5
76,13
77,14
77,6
77,9
78,7
78,6
78,13
79,13
79,10
80,16
80,13
80,10
81,13
81,12
82,14
82,7
82,6
83,11
83,13
83,2
84,14
84,13
84,21
85,11
85,13
85,18
86,11
86,13
87,9
87,13
88,9
88,15
88,12
89,13
90,13
90,2
90,10
91,13
92,14
92,6
92,9
93,7
93,6
93,21
94,13
94,12
94,3
95,13
96,6
96,3
97,11
97,2
98,13
99,16
99,13
99,17
100,6
100,16
100,13
101,9
101,13
101,12
102,13
102,18
102,10
103,7
103,6
103,18
104,13
104,18
105,11
105,18
105,2
106,11
106,13
107,11
107,13
107,19
108,18
108,12
108,2
109,13
109,10
110,9
110,12
111,7
111,11
111,13
112,14
112,6
112,9
113,11
113,3
114,11
114,13
115,13
116,9
116,11
116,13
117,7
117,6
118,7
118,2
119,13
119,1
120,13
120,3
121,9
121,11
122,7
122,13
122,17
123,11
123,13
123,18
124,13
125,16
125,13
125,17
126,11
126,13
127,16
127,13
127,17
128,7
128,16
128,13
129,13
129,8
130,7
130,11
130,13
131,16
131,9
131,11
132,9
132,5
132,12
133,16
133,9
133,13
134,9
134,13
134,1
135,13
135,18
136,13
136,10
137,9
137,13
138,13
139,13
139,18
139,2
140,7
140,13
141,13
142,11
142,13
143,7
143,6
143,3
144,7
144,13
144,10
145,13
145,18
145,2
146,13
146,21
146,10
147,13
147,8
148,11
148,13
148,2
149,16
149,13
149,18
150,20
150,18
150,3
151,7
151,11
151,2
152,6
152,13
152,8
153,7
153,13
153,2
154,6
154,9
154,21
155,6
155,13
155,2
156,14
156,6
156,9
157,11
157,13
157,18
158,14
158,6
158,1
159,11
159,13
159,18
160,16
160,13
161,11
161,2
162,13
162,18
162,2
163,13
163,12
163,10
164,7
164,9
164,11
165,7
165,13
165,3
166,13
166,18
166,12
167,14
167,6
167,9
168,16
168,13
168,4
169,9
169,11
169,13
170,13
171,6
171,13
171,10
172,14
172,6
172,9
173,11
173,2
174,16
174,11
174,13
175,7
175,6
175,21
176,7
176,13
176,4
177,13
178,6
178,1
178,21
179,13
179,4
180,14
180,9
180,1
181,13
181,1
181,4
182,16
182,13
182,17
183,6
183,13
184,7
184,13
184,3
185,13
185,12
186,6
186,13
186,10
187,6
187,9
187,11
188,7
188,6
188,3
189,13
189,18
189,2
190,16
190,13
190,17
191,9
191,13
192,6
192,9
192,13
193,16
193,11
193,13
194,11
194,13
194,18
195,9
195,13
195,2
196,14
196,6
196,9
197,13
197,10
198,7
198,6
198,9
199,11
199,13
199,2
200,7
200,9
200,12
201,14
201,7
201,6
202,6
202,18
202,2
203,14
203,9
203,13
204,19
204,18
204,2
205,14
205,6
205,9
206,6
206,13
206,2
207,13
207,12
208,9
208,13
209,7
209,16
209,13
210,13
211,9
211,11
212,13
212,4
213,13
213,21
214,13
214,2
215,7
215,13
215,3
216,16
216,11
216,13
217,16
217,13
217,17
218,7
218,6
218,3
219,13
219,10
220,11
220,13
221,16
221,13
221,17
222,13
222,12
223,7
223,6
223,21
224,13
224,12
224,10
225,11
225,13
225,18
226,20
227,7
227,16
227,13
228,13
229,6
229,1
229,21
230,6
230,9
230,13
231,14
231,7
231,6
232,16
232,13
232,1
233,13
233,1
234,16
234,13
234,1
235,13
235,12
235,2
236,6
236,16
236,13
237,9
237,12
237,10
238,13
238,10
239,13
240,9
240,13
240,21
241,13
241,2
242,14
242,7
242,6
243,13
243,18
243,12
244,11
244,13
245,13
246,9
246,12
247,11
247,13
247,18
248,14
248,6
248,9
249,6
249,13
249,8
250,13
