StarID,Star
1,Jaroslaw Kopaczewski
2,David Ryall
3,Melinda McGraw
4,Eleanor Witt
5,Honsen Haga
6,Lee Fox
7,Kang Hyun-gyu
8,Lidia Wyrobiec-Bank
9,Naoto Kaji
10,Pierre Segui
11,Alexandre 'China' Tavares
12,Katy Vaughn
13,Rob Landry
14,Dreama Walker
15,Rusty Bourg
16,Martin Adams
17,Grant McCune
18,Kelly Vinn
19,Roger Rees
20,Bruce Allen Dawson
21,Cynthia Leon De Mendoza-Hanna
22,Debbi Morgan
23,Jack Scardino
24,Horacio Nin Uria
25,Zoë Bell
26,Leos Kratochvil
27,Siobhan Fallon Hogan
28,Karl Swenson
29,Gerry Crampton
30,Armando Fracassi
31,Leon Brace
32,Isaac Schinazi
33,Steve Allen
34,Timothy Carr
35,Michael Aston
36,Mike Houston
37,Morgan Combes
38,Brendan Potter
39,Suhani Bhatnagar
40,Petra Hartung
41,Jaerin Washington
42,John Amato
43,Simone Liebman
44,Denzel Whitaker
45,Mark Amos
46,LeJon
47,David Paris
48,Philip Quast
49,Richard Trinder
50,Filomena Spagnuolo
51,Mike Starr
52,Il-han Oo
53,Pete Brogan
54,Frank Marlowe
55,Frank Thring
56,Jan Citron
57,Rachel Majorowski
58,Frankie J. Allison
59,Argentina Brunetti
60,Mark Baxter
61,Jasper Linnewedel
62,Charles Kay
63,John T. Hillman
64,Alphonse Martell
65,Zeljko Ivanek
66,Marie Winters
67,Mykelti Williamson
68,Ella Rowbotham
69,Elaine Kagan
70,Gladys Gale
71,Tom Whelehan
72,Jochen Nickel
73,Charles Force
74,Dayaalan
75,Pat Harmon
76,Lucrecia Gelardi
77,Ethel O'Neil
78,Anthony Easton
79,Kevin Dunn
80,Jack Shalloo
81,Leonard Walker
82,Ahmad Fakhreddine
83,Andy Cunningham
84,Emil Martirossian
85,Brian Tyree Henry
86,Brian Charles Johnson
87,George Kelly
88,Cameron West
89,Isabelle Nanty
90,Daniel Zacapa
91,Tom Struthers
92,Jeffrey Jones
93,Dominique Elijah Smith
94,Bruce Adler
95,Rodger Boyce
96,Kumar Rahul
97,Dave Courvoisier
98,Nicholas K. Gilhool
99,William O'Gorman
100,Willo Jean-Baptiste
101,Finlay Currie
102,Bob Pennetta
103,Mari Kasuya
104,Sonny Grosso
105,Colleen McCauley
106,Wissam Al Ali
107,Billy Boyle
108,Noureddine Hajoujou
109,Devid Striesow
110,Matt Doran
111,Bill Minkin
112,Philip Bentham
113,William Hackett
114,Anthony Tan
115,Morgan Brown
116,Kate Winslet
117,Steve Park
118,Joe Zaso
119,Jack Knight
120,Jonathan Searle
121,Anthony Farraj
122,Hank Azaria
123,Tim Glanfield
124,Louis Perez
125,Bill Dalzell
126,Gemma Kayla
127,Paul Hanson
128,Otto Reiter
129,Will Arnett
130,Slawomir Holland
131,Federico Luppi
132,Dave Davis
133,Steve Vignari
134,Jonathan Ryland
135,Don Henderson
136,Chris-Pin Martin
137,Kerry Malloy
138,Barbara Drew
139,George Sowards
140,Marc Macaulay
141,Basile Achara
142,Vera Miles
143,Darryl Paes
144,John Arceri
145,Thomas Elfmont
146,Nancy Lenehan
147,Hiroki Ochi
148,Olivier Girard
149,Darryle Jermaine
150,Maude Eburne
151,Diego Pozzetto
152,Rose May
153,Kate Campbell
154,Sarah Leigh
155,Billie Burke
156,John Rhys-Davies
157,Michael Schiller
158,Omar Elbooz
159,Liam O'Callaghan
160,Ian Bohen
161,James Phelps
162,Vanessa Summerfield
163,Ryan Butcher
164,Carol Harrison
165,Jack Lotz
166,Tony Denham
167,Grace Meurisse Francis
168,Carmine Foresta
169,Dawn Michelle King
170,Miles Mander
171,Mary Rivera
172,Travis Guba
173,Jamison Yang
174,Marcus Henderson
175,Kôji Mitsui
176,Viola Fay White
177,Edward Sass
178,David Gregg
179,Ben Mendelsohn
180,Lisa Katz
181,Mufid M. Khoury
182,Eddie Kane
183,Sean Button
184,Brian Tweedy
185,Kiyoshi Yamamoto
186,Allan Graf
187,Achyut Potdar
188,Rafael Hernández
189,Sasha Hutchings
190,Toshirô Mifune
191,Kevin Breslin
192,Mark Ebenhoch
193,Addie Eva Frank
194,Mark Killeen
195,Brian Brophy
196,Barry Blueian
197,Jonah Falcon
198,Craig Reeves
199,Marcos 'Kikito' Junqueira
200,Byun Hee-Bong
201,Leila Hatami
202,Don Blakely
203,Brittany Krall
204,Irene Winston
205,Insia Lacewalla
206,Inez Gorman
207,Venkateshan
208,Kristin Jacques
209,Richard Matheson
210,Austin Bowerman
211,Tony Mirelez
212,Fred Chiverton
213,Chris Cowlin
214,Ryûji Sanada
215,Gordon Greene
216,Carlos Henrique Avernas
217,Demetri Goritsas
218,Archie Twitchell
219,Paul Dillon
220,James Herman
221,Steve Flynn
222,José Marco
223,Clint Ward
224,David Susskind
225,Harue Kuramoto
226,Scott Pretty
227,Gary Bunn
228,Jacques Vanaire
229,Benny Safdie
230,Marki Henderson
231,Millicent Bolton
232,Maureen Keiller
233,Alexa Medina
234,Leona Aderias
235,Michael Gilden
236,Ken Watanabe
237,Rusty Jacobs
238,Cecil Reynolds
239,Vera Farmiga
240,Isao Yamagata
241,Yassica Switakowski
242,Jack Phillips
243,Floyd 'Red Crow' Westerman
244,Cyril Ring
245,Joe Gilbert
246,James T. Mack
247,Paloma Nuñez
248,Thomas Gaitsch
249,Andrzej Zielinski
250,Peter Greene
251,Paul G. Thibodeau
252,Thenaambal
253,Doreen McCann
254,Jaime Lawrence
255,Kevin Fleenor
256,Katrin Butt
257,Victor Gotti
258,David J. Cummins
259,Wanja Mues
260,Marcus Chong
261,Miguel Ángel Platinado Grando
262,Janet Lavis
263,Nelly Arno
264,Pat Kouri
265,Miro Grisa
266,Kieran Hurley
267,Madeleine Wade
268,Hugh Marlowe
269,William Hill
270,Shane Wilder
271,Sam Neill
272,Fabio Cardascia
273,Sharon Anderson
274,Phoebe Nicholls
275,Scott B. Morgan
276,Robert Day
277,Joe Maitland
278,Choi Min-sik
279,Sam Hargrave
280,Charles I. Pierce
281,Peter Davidson
282,Keenan Allen
283,Jason Glance
284,Jane Busby
285,Buck Harrington
286,Binde Johal
287,Boots Southerland
288,Michael Horton
289,Simon Baker
290,Chris Britton
291,James R. Hulse
292,Douglas Spencer
293,Elizabeth Harding
294,Jim Damron
295,Michael W. Williams
296,Richard Blake Suarez
297,William Rossman
298,Sam Derence
299,Choua Kue
300,Andie MacDowell
301,Nino Bellini
302,Nick Vallelonga
303,Prasanna Ketkar
304,Joseph Nelson
305,Carlos Xavier Lopez
306,Spencer Wilding
307,Alister Cameron
308,Leroy Jones
309,Shelagh Conley
310,Jamie Forster
311,Jessica Rains
312,Joseph Bergmann
313,Eugene S. David Jr.
314,Jason Menz
315,Clayton Big Eagle
316,Hamed Najem
317,Jesse Wilde
318,Harry Davenport
319,Davram Stiefler
320,T.K. Carter
321,Jonothon Masai
322,Myung-jae Chun
323,Bernice Mosk
324,Gordon Wilcox
325,Lanny Lutz
326,Ariana DeBose
327,Patrick Walsh
328,Mohammad Hammoud
329,Robert Haines
330,Darrell Mapson
331,Ryan Hafron
332,Patrick Mel Hayes
333,Fikret Kuskan
334,Vic Bagratuni
335,Ralph Reed
336,Sareh Bayat
337,Reggie Lee
338,Shaun O'Hagan
339,Baya Belal
340,Zach Hopkins
341,Belinda Palmer
342,Liam Carney
343,Ricky Pak
344,Ian Holm
345,Orika Ono
346,Doc Duhame
347,Reshma Gajjar
348,Robert Taylor
349,Kamal
350,Mila Espiga
351,Tsunagorô Rashômon
352,Amit Shah
353,Oliver Bradshaw
354,Trevor Butterfield
355,Noémi Besedes
356,Michael McFall
357,Elizabeth Smith
358,George Leaver
359,Archie R. Dalzell
360,Jimmy Keogh
361,Bob Pepper
362,Natalie Core
363,William Demarest
364,Hiromi Mineoka
365,Kelley Kerr Young
366,Lawrence Lau
367,Fred Toft
368,Katsuhisa Matsuo
369,Kemet Nado Mongesho
370,Guillaume Viry
371,Tommy Kelly
372,Tobias James-Samuels
373,Kem Dibbs
374,Barbara Pierce
375,Julie Eagleton
376,Gary Friedkin
377,Il-Hyuk Bae
378,Kunichi Nomura
379,Carl Collanus
380,Sachin Pathak
381,Aaron Wayne Hill
382,Bill McIntosh
383,Joel Blake
384,Tyde Kierney
385,Michael Flannery
386,Tom Seidel
387,Paul Hardtmuth
388,River Phoenix
389,Viviane Vives
390,George Spence
391,Ryan Sturz
392,Hattie Bell
393,Louise Carter
394,Tucker Meek
395,Maria Arnott
396,Joseph Charles
397,Thomas Franke
398,Lauren Barrand
399,Alfonso Freeman
400,Oguzhan Kocakli
401,Tommy Ilsley
402,Andrew Fincher
403,Monya Andre
404,Emmanuel Rodriguez
405,Huggy Leaver
406,Leo Gorcey Jr.
407,Jerry Trimble
408,Kade Coates
409,Andre De'Sean Shanks
410,Nora Bush
411,Estelle Cook
412,Joshua Bankey
413,Robbie Coltrane
414,Harvey Keitel
415,Andrzej Seweryn
416,Sam Comery
417,Louis Mercier
418,Richard Elmore
419,Rami Heuberger
420,Kyriakos Georgiou
421,Takao Komine
422,Fred Culbertson
423,Jeffrey Rollins
424,Dan Doherty
425,Monika Krüger
426,Chadi Obeid
427,Marie Michaels
428,George Holdcroft
429,Eulie H. David
430,Alex Morris
431,Charles Evans
432,Tom Gorman
433,Richard Jones
434,Rachid Abbad
435,Darcy Rose Byrnes
436,Clarence Gilyard Jr.
437,Donald O'Connor
438,Lech Niebielski
439,Frances Deets
440,Bernard Ledger
441,Judy Wyler
442,Jean Hagen
443,Roula Awtar
444,Nishant Narania
445,Marcella Becker
446,Camille Rizkallah
447,Anna Farnworth
448,Martín Gervasoni
449,Parris Mosteller
450,Barry Bruce
451,Miri Fabian
452,Jeno Orosz
453,Thulani Nyembe
454,Lewis Pullman
455,Lennart Meyer
456,Davud Shams
457,Christian Duurvoort
458,Takaaki Kadota
459,Bill Graham
460,Dane E. Connor
461,Ram Qabil
462,Michael E. Chapman
463,Choi Gyo-sik
464,Donna Jean Johnson
465,Ilya Mozgovoy
466,Jacqueline Lovell
467,Peter Anthony Tambakis
468,Andrea Orlando
469,Valeriy Salomakhin
470,Rich Tretheway
471,Ronny Cush
472,Kenneth Fortescue
473,Jerry James
474,Allen Sutherland
475,Phil Murray
476,Karim Hajee
477,Post Malone
478,Michele Proude
479,Sombot Jumpanoi
480,Judd Wild
481,Leopold Pfefferberg
482,Tom Spratley
483,Robert Dudley
484,Ofentse Modiselle
485,Gregory Fennell
486,Werner Abrolat
487,Max Linder
488,Jack Lemmon
489,Marco Rodríguez
490,Michael Clarke Duncan
491,Anthony Styliano
492,Jean Woodward
493,Bill Chatham
494,Sean Howse
495,Thomas Kretschmann
496,Marie Kean
497,Aramis Knight
498,Anne Zogby
499,Daniel Conley
500,Chris Wallace
501,Edwin Rochelle
502,Giancarlo Sta Cruz
503,Lauren Bacall
504,Nick Zano
