DirectorID,Director
1,Gavin O'Connor
2,George Lucas
3,Sean Penn
4,Irvin Kershner
5,Joseph Kosinski
6,Lee Unkrich
7,John Sturges
8,Billy Wilder
9,Danny Boyle
10,Ron Clements
11,Steven Spielberg
12,Sidney Lumet
13,Olivier Nakache
14,Joel Coen
15,King Vidor
16,Akira Kurosawa
17,Damien Chazelle
18,Florian Henckel von Donnersmarck
19,Sam Wood
20,Michael Cimino
21,Richard Marquand
22,Isao Takahata
23,Gillo Pontecorvo
24,Jonathan Demme
25,Steve McQueen
26,Kevin Costner
27,Jon Watts
28,Damián Szifron
29,John Ford
30,Martin Scorsese
31,David Yates
32,Tate Taylor
33,Kemp Powers
34,Ronnie Del Carmen
35,Todd Phillips
36,Stanley Donen
37,Sergio Leone
38,Richard Linklater
39,Peter Farrelly
40,Wim Wenders
41,Bob Persichetti
42,Robert Wise
43,Carlos Martínez López
44,Frank Capra
45,Kátia Lund
46,Thomas Vinterberg
47,Thomas Kail
48,Guillermo del Toro
49,George Miller
50,Ingmar Bergman
51,Stanley Kramer
52,Terry George
53,Rajkumar Hirani
54,Peter Ramsey
55,Mathieu Kassovitz
56,Giuseppe Tornatore
57,Florian Zeller
58,Oliver Hirschbiegel
59,Clyde Bruckman
60,Tom McCarthy
61,George Cukor
62,Curtis Hanson
63,Denis Villeneuve
64,Fernando Meirelles
65,Clint Eastwood
66,Rob Reiner
67,Francis Ford Coppola
68,Joaquim Dos Santos
69,Joe Russo
70,Frank Darabont
71,Roman Polanski
72,Gus Van Sant
73,Dean DeBlois
74,Jan Pinkava
75,Masaki Kobayashi
76,Jean-Pierre Jeunet
77,John Huston
78,Terry Jones
79,Rodney Rothman
80,Peter Weir
81,Carol Reed
82,James Mangold
83,Yasujirô Ozu
84,David Fincher
85,Park Chan-wook
86,David Lean
87,Gore Verbinski
88,Makoto Shinkai
89,Alejandro G. Iñárritu
90,George Roy Hill
91,Carl Theodor Dreyer
92,Stuart Rosenberg
93,Darren Aronofsky
94,Lenny Abrahamson
95,Robert Mulligan
96,Peter Jackson
97,Asghar Farhadi
98,William Wyler
99,Jim Sheridan
100,Michel Gondry
101,Nitesh Tiwari
102,Çagan Irmak
103,Wes Anderson
104,Majid Majidi
105,Bob Peterson
106,Robert Zemeckis
107,Hayao Miyazaki
108,James McTeigue
109,Gene Kelly
110,Fritz Lang
111,Elia Kazan
112,Ernst Lubitsch
113,David Silverman
114,Elem Klimov
115,Amole Gupte
116,Ethan Coen
117,Mel Gibson
118,Ron Howard
119,John Carpenter
120,Buster Keaton
121,Quentin Tarantino
122,Vidhu Vinod Chopra
123,Nadine Labaki
124,Lilly Wachowski
125,Roger Allers
126,Lasse Hallström
127,David Lynch
128,Brian De Palma
129,Guy Ritchie
130,Chris Sanders
131,Éric Toledano
132,Wolfgang Petersen
133,William Friedkin
134,Harold Ramis
135,Alfred Hitchcock
136,Luc Besson
137,Terry Gilliam
138,Oliver Stone
139,Vittorio De Sica
140,Lana Wachowski
141,Milos Forman
142,Justin K. Thompson
143,Bryan Singer
144,M. Night Shyamalan
145,Brad Bird
146,Stanley Kubrick
147,Ridley Scott
148,John Musker
149,Martin McDonagh
150,John G. Avildsen
151,Joseph L. Mankiewicz
152,Juan José Campanella
153,James Cameron
154,Christopher Nolan
155,Rob Minkoff
156,Sam Mendes
157,T.J. Gnanavel
158,Bong Joon Ho
159,Michael Mann
160,Henri-Georges Clouzot
161,Andrew Stanton
162,Victor Fleming
163,Pete Docter
164,Roberto Benigni
165,Adrian Molina
166,Orson Welles
167,Nishikant Kamat
168,Charles Chaplin
169,Aamir Khan
170,Paul Thomas Anderson
171,John Lasseter
172,Michael Curtiz
173,Tony Kaye
174,Anthony Russo
175,Sergio Pablos
176,Adam Elliot
177,John McTiernan
