FilmID,DirectorID
1,70
2,67
3,154
4,67
5,12
6,11
7,96
8,121
9,96
10,37
11,106
12,96
13,84
14,154
15,4
16,140
16,124
17,30
18,141
19,84
20,154
21,44
22,16
23,24
24,63
25,11
26,64
26,45
27,164
28,70
29,153
30,2
31,106
32,107
33,71
34,158
35,135
36,68
36,33
36,142
37,147
38,125
38,155
39,30
40,136
41,173
42,17
43,154
44,22
45,75
46,143
47,172
48,13
48,131
49,56
50,168
51,135
52,37
53,147
54,168
55,121
56,67
57,154
58,122
59,161
60,11
61,18
62,8
63,174
63,69
64,146
65,41
65,54
65,79
66,8
67,146
68,168
69,153
70,121
71,154
72,146
73,156
74,6
74,165
75,85
76,141
77,171
78,132
79,174
79,69
80,117
81,107
82,35
83,72
84,88
85,16
86,37
87,53
88,36
88,109
89,123
90,114
91,93
92,6
93,21
94,100
95,46
96,154
97,146
98,121
99,16
100,86
101,8
102,135
103,63
104,166
105,110
106,135
107,8
108,128
109,146
110,76
111,159
112,146
113,163
113,105
114,95
115,90
116,97
117,11
118,177
119,110
120,169
120,115
121,129
122,47
123,62
124,156
125,139
126,30
127,58
128,101
129,37
130,154
131,30
132,8
133,39
134,168
135,57
136,51
137,80
138,151
139,5
140,30
141,170
142,30
143,11
144,16
145,144
146,48
147,65
148,116
148,14
149,118
150,119
151,121
152,77
153,16
154,137
154,78
155,7
156,161
156,6
157,63
158,16
159,107
160,127
161,71
162,135
163,162
163,61
163,19
164,108
165,129
166,152
167,163
167,34
168,30
169,149
170,9
171,86
172,175
172,43
173,14
173,116
174,27
175,11
176,1
177,65
178,107
179,65
180,31
181,104
182,25
183,147
184,38
185,98
186,146
187,103
188,84
189,117
190,168
191,158
192,99
193,80
194,49
195,28
196,20
197,59
197,120
198,111
199,163
199,113
199,6
200,120
201,81
202,11
203,73
203,130
204,50
205,160
206,176
207,44
208,145
208,74
209,82
210,83
211,14
211,116
212,94
213,50
214,150
215,82
216,60
217,52
218,153
219,138
220,91
221,55
222,38
223,98
224,87
225,133
226,118
227,12
228,157
229,66
230,162
230,15
231,145
232,126
233,85
234,3
235,102
236,42
237,112
238,23
239,29
240,134
241,89
242,135
243,145
244,92
245,32
246,44
247,10
247,148
248,26
249,40
250,167
