FilmID,StarID
1,346
1,2331
1,3228
1,3353
1,1428
1,2674
1,837
1,190
1,1893
1,1181
1,2751
1,1851
1,110
1,3322
1,1095
1,1415
1,3163
1,1880
2,1347
2,916
2,687
2,1535
2,2372
2,2801
2,148
2,2596
2,2529
2,2380
2,3508
2,1029
2,3073
2,3318
2,1247
2,176
2,497
2,943
3,108
3,699
3,3420
3,370
3,3310
3,3541
3,2331
3,1968
3,2191
3,2302
3,1582
3,383
3,213
3,2997
3,789
3,2602
3,3087
3,2696
4,916
4,761
4,2801
4,1535
4,3318
4,1029
4,3148
4,3301
4,1175
4,3802
4,1634
4,3713
4,2237
4,112
4,1805
4,497
4,2480
4,3489
5,2083
5,2414
5,2810
5,1485
5,2467
5,1979
5,3044
5,3052
5,349
5,2815
5,1171
5,587
5,1247
5,3755
5,3359
5,3558
5,768
5,2731
6,2752
6,3094
6,1583
6,2907
6,3792
6,1207
6,275
6,3827
6,1287
6,1816
6,2809
6,3618
6,489
6,2227
6,818
6,91
6,3639
6,384
7,3268
7,3515
7,2433
7,2069
7,3409
7,2270
7,2476
7,3396
7,2415
7,1365
7,1740
7,1628
7,2657
7,3004
7,369
7,1544
7,3700
7,3133
8,3747
8,3656
8,2591
8,1049
8,145
8,2580
8,1778
8,2944
8,2869
8,3461
8,968
8,3606
8,1334
8,3633
8,1643
8,2359
8,3335
8,520
9,3268
9,2433
9,2069
9,1365
9,1160
9,3409
9,2476
9,2873
9,1628
9,467
9,369
9,3515
9,2975
9,554
9,1740
9,1050
9,2352
9,2768
10,760
10,2962
10,3428
10,260
10,94
10,1586
10,167
10,235
10,3616
10,1177
10,991
10,2654
10,2413
10,3688
10,3619
10,2177
10,2772
10,495
11,1509
11,1205
11,242
11,2049
11,1882
11,572
11,3337
11,3773
11,58
11,2254
11,2704
11,2176
11,503
11,566
11,3554
11,3711
11,2118
11,642
12,3268
12,2433
12,3515
12,2069
12,2880
12,2476
12,2415
12,2873
12,1740
12,1628
12,3481
12,2208
12,2831
12,1934
12,3133
12,815
12,3684
12,2768
13,1012
13,43
13,368
13,3365
13,2431
13,1279
13,95
13,2071
13,1082
13,3467
13,3503
13,1853
13,3156
13,3199
13,3570
13,1673
13,1785
13,1823
14,2784
14,890
14,1414
14,1368
14,1016
14,1847
14,2302
14,2023
14,654
14,3109
14,370
14,632
14,2967
14,464
14,3336
14,1969
14,2236
14,1553
15,2038
15,2600
15,1125
15,1658
15,938
15,2146
15,2716
15,1668
15,2295
15,2322
15,3720
15,2560
15,1632
15,15
15,375
15,2710
15,651
15,453
16,1385
16,1741
16,1310
16,984
16,3028
16,1540
16,3036
16,2367
16,74
16,732
16,2216
16,1997
16,736
16,3396
16,1496
16,1026
16,2394
16,1915
17,761
17,1473
17,2186
17,747
17,1377
17,112
17,2812
17,1348
17,2400
17,1173
17,1549
17,979
17,2697
17,3123
17,1002
17,3745
17,1487
17,2804
18,3415
18,999
18,2546
18,1054
18,3288
18,2222
18,539
18,3189
18,1989
18,3172
18,2147
18,3051
18,3438
18,3085
18,3125
18,3201
18,721
18,3249
19,2331
19,1012
19,2693
19,1071
19,3190
19,245
19,1439
19,1845
19,2556
19,2342
19,2769
19,1918
19,1093
19,607
19,3256
19,1867
19,142
19,1373
20,549
20,901
20,3069
20,2951
20,240
20,377
20,3840
20,2836
20,3634
20,624
20,2143
20,2032
20,3462
20,3824
20,370
20,3601
20,906
20,2539
21,472
21,2098
21,400
21,533
21,953
21,1718
21,1730
21,3147
21,2166
21,3493
21,3185
21,2995
21,3067
21,1282
21,1580
21,1881
21,2015
21,2742
22,3814
22,2651
22,371
22,1820
22,2298
22,185
22,1689
22,1217
22,3690
22,1117
22,2738
22,509
22,1824
22,62
22,2275
22,2662
22,2360
22,3430
23,2628
23,374
23,2357
23,803
23,113
23,2547
23,1725
23,2729
23,2851
23,2852
23,665
23,1511
23,2985
23,1536
23,1935
23,137
23,1752
23,1527
24,3840
24,2346
24,3431
24,2321
24,1422
24,1642
24,2627
24,2582
24,444
24,1637
24,121
24,2438
24,3687
24,3555
24,1863
24,3771
24,272
24,3543
25,1509
25,2333
25,2681
25,2329
25,846
25,2914
25,207
25,2479
25,61
25,3712
25,918
25,543
25,3307
25,1641
25,645
25,2806
25,2478
25,408
26,2827
26,182
26,1825
26,3566
26,1790
26,2902
26,574
26,2927
26,3011
26,2094
26,2350
26,186
26,532
26,3329
26,3716
26,2007
26,1161
26,382
27,2090
27,2079
27,667
27,3210
27,1268
27,2690
27,1633
27,848
27,3184
27,3691
27,2468
27,870
27,2543
27,1091
27,3018
27,3441
27,3298
27,2070
28,1509
28,1722
28,3717
28,1521
28,1922
28,2419
28,3484
28,2150
28,2916
28,846
28,1893
28,1572
28,1995
28,1110
28,2554
28,3353
28,593
28,2366
29,1827
29,2969
29,514
29,2577
29,1665
29,3761
29,1961
29,388
29,1964
29,1076
29,2736
29,1581
29,614
29,2892
29,3191
29,2481
29,3780
29,243
30,2038
30,2600
30,1125
30,2322
30,2101
30,938
30,1668
30,2716
30,2146
30,2739
30,556
30,1632
30,366
30,3390
30,1389
30,1452
30,3029
30,256
31,3540
31,3249
31,973
31,1238
31,2457
31,770
31,1799
31,2732
31,114
31,956
31,3683
31,822
31,2588
31,2104
31,1009
31,473
31,2044
31,1980
32,2378
32,1819
32,443
32,3162
32,2911
32,3264
32,757
32,3456
32,977
32,1576
32,2508
32,1397
32,476
32,3514
32,2958
32,154
32,2818
32,139
33,1938
33,2857
33,1323
33,2441
33,2989
33,2615
33,985
33,1952
33,608
33,2505
33,3781
33,2515
33,2626
33,3246
33,2719
33,1603
33,3812
33,1411
34,1400
34,647
34,2323
34,1083
34,833
34,3132
34,241
34,1201
34,2961
34,2942
34,412
34,515
34,2324
34,850
34,3314
34,3367
34,2102
34,386
35,903
35,2289
35,1587
35,2994
35,2810
35,2587
35,3000
35,3185
35,158
35,63
35,1729
35,3116
35,3784
35,1184
35,1726
35,3638
35,3665
35,830
36,2884
36,2238
36,2643
36,2953
36,2957
36,2437
36,143
36,2145
36,3179
36,1280
36,931
36,1223
36,1588
36,1374
36,2103
36,2303
36,935
36,1059
37,1917
37,845
37,1256
37,1663
37,332
37,622
37,452
37,2294
37,3369
37,664
37,3402
37,963
37,1640
37,462
37,2866
37,2262
37,2936
37,3214
38,2839
38,2297
38,1315
38,1440
38,1484
38,3617
38,553
38,585
38,380
38,1889
38,2063
38,60
38,947
38,2151
38,1222
38,2733
38,2045
38,883
39,2784
39,2333
39,3415
39,3473
39,171
39,1023
39,1525
39,3696
39,2240
39,706
39,986
39,1895
39,837
39,1149
39,3443
39,433
39,2217
39,534
40,238
40,3541
40,6
40,2268
40,2153
40,2120
40,2684
40,2496
40,1745
40,3285
40,1308
40,511
40,1697
40,701
40,3160
40,3557
40,2530
40,3706
