FilmID,Film Title,IMDb Rating,Release Year,Movie Image
1,The Shawshank Redemption,9.3,1994,https://m.imdb.com//title/tt0111161/mediaviewer/rm1690056449/?ref_=tt_ov_i
2,The Godfather,9.2,1972,https://m.imdb.com//title/tt0068646/mediaviewer/rm746868224/?ref_=tt_ov_i
3,The Dark Knight,9.0,2008,https://m.imdb.com//title/tt0468569/mediaviewer/rm4023877632/?ref_=tt_ov_i
4,The Godfather Part II,9.0,1974,https://m.imdb.com//title/tt0071562/mediaviewer/rm4159262464/?ref_=tt_ov_i
5,12 Angry Men,9.0,1957,https://m.imdb.com//title/tt0050083/mediaviewer/rm2927108352/?ref_=tt_ov_i
6,Schindler's List,9.0,1993,https://m.imdb.com//title/tt0108052/mediaviewer/rm1610023168/?ref_=tt_ov_i
7,The Lord of the Rings: The Return of the King,9.0,2003,https://m.imdb.com//title/tt0167260/mediaviewer/rm584928512/?ref_=tt_ov_i
8,Pulp Fiction,8.9,1994,https://m.imdb.com//title/tt0110912/mediaviewer/rm1959546112/?ref_=tt_ov_i
9,The Lord of the Rings: The Fellowship of the Ring,8.9,2001,https://m.imdb.com//title/tt0120737/mediaviewer/rm3592958976/?ref_=tt_ov_i
10,"The Good, the Bad and the Ugly",8.8,1966,https://m.imdb.com//title/tt0060196/mediaviewer/rm1383786241/?ref_=tt_ov_i
11,Forrest Gump,8.8,1994,https://m.imdb.com//title/tt0109830/mediaviewer/rm1954748672/?ref_=tt_ov_i
12,The Lord of the Rings: The Two Towers,8.8,2002,https://m.imdb.com//title/tt0167261/mediaviewer/rm306845440/?ref_=tt_ov_i
13,Fight Club,8.8,1999,https://m.imdb.com//title/tt0137523/mediaviewer/rm1412004864/?ref_=tt_ov_i
14,Inception,8.8,2010,https://m.imdb.com//title/tt1375666/mediaviewer/rm3426651392/?ref_=tt_ov_i
15,Star Wars: Episode V - The Empire Strikes Back,8.7,1980,https://m.imdb.com//title/tt0080684/mediaviewer/rm3114097664/?ref_=tt_ov_i
16,The Matrix,8.7,1999,https://m.imdb.com//title/tt0133093/mediaviewer/rm525547776/?ref_=tt_ov_i
17,Goodfellas,8.7,1990,https://m.imdb.com//title/tt0099685/mediaviewer/rm2091797760/?ref_=tt_ov_i
18,One Flew Over the Cuckoo's Nest,8.7,1975,https://m.imdb.com//title/tt0073486/mediaviewer/rm2186479360/?ref_=tt_ov_i
19,Se7en,8.6,1995,https://m.imdb.com//title/tt0114369/mediaviewer/rm3116368640/?ref_=tt_ov_i
20,Interstellar,8.7,2014,https://m.imdb.com//title/tt0816692/mediaviewer/rm4043724800/?ref_=tt_ov_i
21,It's a Wonderful Life,8.6,1946,https://m.imdb.com//title/tt0038650/mediaviewer/rm3862243328/?ref_=tt_ov_i
22,Seven Samurai,8.6,1954,https://m.imdb.com//title/tt0047478/mediaviewer/rm1230920705/?ref_=tt_ov_i
23,The Silence of the Lambs,8.6,1991,https://m.imdb.com//title/tt0102926/mediaviewer/rm3242988544/?ref_=tt_ov_i
24,Dune: Part Two,8.7,2024,https://m.imdb.com//title/tt15239678/mediaviewer/rm1391346433/?ref_=tt_ov_i
25,Saving Private Ryan,8.6,1998,https://m.imdb.com//title/tt0120815/mediaviewer/rm1924732160/?ref_=tt_ov_i
26,City of God,8.6,2002,https://m.imdb.com//title/tt0317248/mediaviewer/rm3233433856/?ref_=tt_ov_i
27,Life Is Beautiful,8.6,1997,https://m.imdb.com//title/tt0118799/mediaviewer/rm2303464448/?ref_=tt_ov_i
28,The Green Mile,8.6,1999,https://m.imdb.com//title/tt0120689/mediaviewer/rm946247936/?ref_=tt_ov_i
29,Terminator 2: Judgment Day,8.6,1991,https://m.imdb.com//title/tt0103064/mediaviewer/rm1982141440/?ref_=tt_ov_i
30,Star Wars: Episode IV - A New Hope,8.6,1977,https://m.imdb.com//title/tt0076759/mediaviewer/rm164871937/?ref_=tt_ov_i
31,Back to the Future,8.5,1985,https://m.imdb.com//title/tt0088763/mediaviewer/rm554638848/?ref_=tt_ov_i
32,Spirited Away,8.6,2001,https://m.imdb.com//title/tt0245429/mediaviewer/rm4207852801/?ref_=tt_ov_i
33,The Pianist,8.5,2002,https://m.imdb.com//title/tt0253474/mediaviewer/rm902038272/?ref_=tt_ov_i
34,Parasite,8.5,2019,https://m.imdb.com//title/tt6751668/mediaviewer/rm3194916865/?ref_=tt_ov_i
35,Psycho,8.5,1960,https://m.imdb.com//title/tt0054215/mediaviewer/rm1902135552/?ref_=tt_ov_i
36,Spider-Man: Across the Spider-Verse,8.6,2023,https://m.imdb.com//title/tt9362722/mediaviewer/rm1009725185/?ref_=tt_ov_i
37,Gladiator,8.5,2000,https://m.imdb.com//title/tt0172495/mediaviewer/rm2442542592/?ref_=tt_ov_i
38,The Lion King,8.5,1994,https://m.imdb.com//title/tt0110357/mediaviewer/rm3272938240/?ref_=tt_ov_i
39,The Departed,8.5,2006,https://m.imdb.com//title/tt0407887/mediaviewer/rm981113088/?ref_=tt_ov_i
40,Léon: The Professional,8.5,1994,https://m.imdb.com//title/tt0110413/mediaviewer/rm727457281/?ref_=tt_ov_i
41,American History X,8.5,1998,https://m.imdb.com//title/tt0120586/mediaviewer/rm15519489/?ref_=tt_ov_i
42,Whiplash,8.5,2014,https://m.imdb.com//title/tt2582802/mediaviewer/rm1048725760/?ref_=tt_ov_i
43,The Prestige,8.5,2006,https://m.imdb.com//title/tt0482571/mediaviewer/rm4031813632/?ref_=tt_ov_i
44,Grave of the Fireflies,8.5,1988,https://m.imdb.com//title/tt0095327/mediaviewer/rm2344616448/?ref_=tt_ov_i
45,Harakiri,8.6,1962,https://m.imdb.com//title/tt0056058/mediaviewer/rm3396951552/?ref_=tt_ov_i
46,The Usual Suspects,8.5,1995,https://m.imdb.com//title/tt0114814/mediaviewer/rm1975465472/?ref_=tt_ov_i
47,Casablanca,8.5,1942,https://m.imdb.com//title/tt0034583/mediaviewer/rm1220089088/?ref_=tt_ov_i
48,The Intouchables,8.5,2011,https://m.imdb.com//title/tt1675434/mediaviewer/rm1305720576/?ref_=tt_ov_i
49,Cinema Paradiso,8.5,1988,https://m.imdb.com//title/tt0095765/mediaviewer/rm968560128/?ref_=tt_ov_i
50,Modern Times,8.5,1936,https://m.imdb.com//title/tt0027977/mediaviewer/rm1936870913/?ref_=tt_ov_i
51,Rear Window,8.5,1954,https://m.imdb.com//title/tt0047396/mediaviewer/rm2152008192/?ref_=tt_ov_i
52,Once Upon a Time in the West,8.5,1968,https://m.imdb.com//title/tt0064116/mediaviewer/rm1638669825/?ref_=tt_ov_i
53,Alien,8.5,1979,https://m.imdb.com//title/tt0078748/mediaviewer/rm2032147969/?ref_=tt_ov_i
54,City Lights,8.5,1931,https://m.imdb.com//title/tt0021749/mediaviewer/rm1133857792/?ref_=tt_ov_i
55,Django Unchained,8.5,2012,https://m.imdb.com//title/tt1853728/mediaviewer/rm958180352/?ref_=tt_ov_i
56,Apocalypse Now,8.4,1979,https://m.imdb.com//title/tt0078788/mediaviewer/rm938805761/?ref_=tt_ov_i
57,Memento,8.4,2000,https://m.imdb.com//title/tt0209144/mediaviewer/rm655365120/?ref_=tt_ov_i
58,12th Fail,9.0,2023,https://m.imdb.com//title/tt23849204/mediaviewer/rm81690113/?ref_=tt_ov_i
59,WALL·E,8.4,2008,https://m.imdb.com//title/tt0910970/mediaviewer/rm1659211008/?ref_=tt_ov_i
60,Raiders of the Lost Ark,8.4,1981,https://m.imdb.com//title/tt0082971/mediaviewer/rm2091520257/?ref_=tt_ov_i
61,The Lives of Others,8.4,2006,https://m.imdb.com//title/tt0405094/mediaviewer/rm2788630273/?ref_=tt_ov_i
62,Sunset Blvd.,8.4,1950,https://m.imdb.com//title/tt0043014/mediaviewer/rm3057726976/?ref_=tt_ov_i
63,Avengers: Infinity War,8.4,2018,https://m.imdb.com//title/tt4154756/mediaviewer/rm4044245504/?ref_=tt_ov_i
64,Paths of Glory,8.4,1957,https://m.imdb.com//title/tt0050825/mediaviewer/rm3208254976/?ref_=tt_ov_i
65,Spider-Man: Into the Spider-Verse,8.4,2018,https://m.imdb.com//title/tt4633694/mediaviewer/rm173371392/?ref_=tt_ov_i
66,Witness for the Prosecution,8.4,1957,https://m.imdb.com//title/tt0051201/mediaviewer/rm2247443968/?ref_=tt_ov_i
67,The Shining,8.4,1980,https://m.imdb.com//title/tt0081505/mediaviewer/rm3901111552/?ref_=tt_ov_i
68,The Great Dictator,8.4,1940,https://m.imdb.com//title/tt0032553/mediaviewer/rm2845182976/?ref_=tt_ov_i
