StarID,Star
1,Paul Weigel
2,Chris Cooper
3,Sean McGinley
4,Edie Adams
5,Harry Fischler
6,Natalie Portman
7,Nick Lehane
8,Marta Belfort
9,Mark Phoenix
10,Grete Berger
11,Bill Reimbold
12,Jessie Arnold
13,Paul Barrett
14,Alexander Gould
15,Des Webb
16,Sam Sheridan
17,Nellie Bly Baker
18,Michel Simon
19,Darling Légitimus
20,Peter Capell
21,Olga Abrego
22,Ellen Frey
23,Cicely Tyson
24,Kiyoshi Yanagawa
25,Chuck Aspegren
26,Elias Akobegia
27,Sarita Joshi
28,Bea Miller
29,Kerry Washington
30,Prakash Raj
31,Carter DeHaven
32,Nicholas Rowe
33,Vijay Kumar Dogra
34,Darrin Prescott
35,Lijo Mol Jose
36,David Mucci
37,Christopher Mintz-Plasse
38,Daisuke Ryû
39,Lamberto Maggiorani
40,Linda Cardellini
41,Madhavan
42,Fasi Khan
43,Edward Norton
44,Wilfred Lucas
45,Sanya Malhotra
46,Fritz Rasp
47,Leigh Gill
48,Rodolphe Pauly
49,Brían F. O'Byrne
50,Elizabeth Olsen
51,Annie Potts
52,Darlanne Fluegel
53,Nathalie Baye
54,John McLiam
55,Strother Martin
56,Frédéric Paquet
57,Malcolm McDowell
58,Bob Penny
59,Emily Mortimer
60,Cheech Marin
61,Jeremy Davies
62,Kokuten Kôdô
63,Vaughn Taylor
64,Karl Malden
65,Troy Doherty
66,Fritz Alberti
67,Torin Thatcher
68,Kyû Sazanka
69,Jack Shearer
70,Ege Kaya
71,Edward LeSaint
72,Charles Cork
73,Richard Widmark
74,Matt Doran
75,Rob Lyons
76,Erika von Tagen
77,Humberto Busto
78,Shirô Tamaki
79,Diana Rabito
80,Roger Imhof
81,Shirley MacLaine
82,Leleti Khumalo
83,Mary McDonnell
84,Keir Dullea
85,Rachel Griffiths
86,Saturno Cerra
87,Bill Hanrahan
88,Victor Argo
89,Choi Jong-ryol
90,Francesco Quinn
91,Adi Nitzan
92,Kiko Cerone
93,Rene Russo
94,Luigi Pistilli
95,George Maguire
96,Paul Tamarin
97,Laura Almela
98,Arun Bali
99,Sô Yamamura
100,Joe Mantell
101,Gale Hansen
102,Gottfried Huppertz
103,Al Coronel
104,Frederick Vroom
105,Monty Stuart
106,Christopher McDonald
107,Milo Gibson
108,Christian Bale
109,Hoagy Carmichael
110,David Proval
111,Fred Malatesta
112,Frank Sivero
113,Anthony Heald
114,George DiCenzo
115,Rick Overton
116,Oh Tae-kyung
117,Josh Pais
118,Tantoo Cardinal
119,Jack McMullen
120,Chris Ellis
121,Stellan Skarsgård
122,Jess Harnell
123,Dylan Minnette
124,Amanda Warren
125,Mathieu Amalric
126,Stephen Rea
127,Aidan Gillen
128,Minnie Driver
129,Marcia Jean Kurtz
130,Ron Taylor
131,Hiroshi Tanaka
132,Maeve Andrews
133,Kurt Russell
134,Larry J. Blake
135,Albert Austin
136,Sam Allen
137,Paul Lazar
138,Julius Callahan
139,Michiko Yamamoto
140,Nicholas Colasanto
141,Sophie Okonedo
142,Jimmy Dale Hartsell
143,Jason Schwartzman
144,Abdel-Moulah Boujdouni
145,Tim Roth
146,Darryl Hickman
147,Wayne Duvall
148,Sterling Hayden
149,Brandon Beach
150,Dick Smothers
151,John Mighton
152,Suriya
153,Thomas Thieme
154,Shigeru Wakita
155,Jerry Houser
156,Billy Crystal
157,Jon Sortland
158,Patricia Hitchcock
159,Rouiched
